name,type,cask,location,age,abv %,cost,badge,# ratings,community rating,flavor summary,expert,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral
EL DIAMANTE DEL CIELO SILVER TEQUILA,TEQUILA BLANCO,unknown,unknown,unknown,40.0,2,unknown,2,4.88,HERBAL,RON BECHTOL,87,5,10,40,40,15,10,25,25,10,5,5,10,35,25
ROCA PATRÓN SILVER TEQUILA,TEQUILA BLANCO,UNAGED,"LOS ALTOS, JALISCO, MEXICO",NAS,45.0,3,PATRÓN ,67,3.77,HERBAL,STEPHANIE MORENO,87,0,25,10,60,10,35,40,40,45,35,0,35,35,15
BRUXO NO. 3 BARRIL MEZCAL,MEZCAL JOVEN,unknown,unknown,unknown,46.0,3,unknown,10,3.68,RICH & SMOKY,AMANDA SCHUSTER,87,60,20,40,50,20,0,75,40,0,15,5,0,40,10
OLMECA ALTOS REPOSADO TEQUILA,TEQUILA REPOSADO,unknown,"LOS ALTOS, JALISCO, MEXICO",unknown,40.0,1,OLMECA ALTOS ,193,3.69,SWEET & FRUITY,DANIEL DJANG,87,15,52,35,62,10,10,20,67,25,25,10,10,65,15
ESPÍRITU LAURO JOVEN MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,40.0,3,ESPÍRITU LAURO ,13,4.13,EARTHY,AMANDA SCHUSTER,87,25,60,15,35,20,10,40,10,40,25,25,0,15,0
CALLE 23 TEQUILA REPOSADO,TEQUILA REPOSADO,unknown,unknown,unknown,40.0,2,unknown,5,3.85,SWEET,AMANDA SCHUSTER,87,20,10,30,15,10,5,40,60,10,0,0,0,50,10
MONTELOBOS ESPADÍN MEZCAL JOVEN,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,43.2,2,MONTELOBOS ,263,3.92,SMOKY & SALTY,OMARI WHEAT,87,75,65,59,40,30,20,67,58,40,70,50,20,50,15
MILAGRO SILVER TEQUILA,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,MILAGRO ,193,3.56,HERBAL & FRUITY,STEPHANIE MORENO,87,0,15,5,80,40,20,40,45,25,25,0,15,55,15
SUERTE BLANCO TEQUILA,TEQUILA BLANCO,unknown,unknown,unknown,40.0,2,unknown,20,3.66,EARTHY & HERBAL,DANIEL DJANG,87,55,87,50,82,42,15,30,25,60,45,70,50,45,40
AVIÓN SILVER TEQUILA,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,AVIÓN ,97,3.58,SPICY & SALTY,JOHN RANKIN,87,0,25,65,60,15,10,60,20,40,60,20,20,35,15
MEZCAL EL SILENCIO ESPADÍN,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,43.0,2,MEZCAL EL SILENCIO ,98,3.69,EARTHY,STEPHANIE MORENO,87,45,75,15,50,20,20,45,10,40,10,30,25,15,0
SUERTE STILL STRENGTH BLANCO TEQUILA,TEQUILA BLANCO,unknown,MEXICO,NAS,52.0,3,SUERTE ,2,4.5,SPICY,AMANDA SCHUSTER,86,0,10,30,25,0,3,20,20,15,5,0,10,20,0
TEQUILA KOMOS AÑEJO RESERVA,TEQUILA AÑEJO,"FRENCH OAK WINE, AMERICAN BOURBON, AND SHERRY CASKS","JALISCO, MEXICO",NAS,40.0,5,TEQUILA KOMOS ,4,4.88,SWEET & RICH,STEPHANIE MORENO,86,0,40,35,55,15,45,55,60,0,0,0,30,30,0
ASTRAL TEQUILA AÑEJO,TEQUILA AÑEJO,FIRST FILL AMERICAN OAK EX-BOURBON,"JALISCO, MEXICO",NAS,40.0,2,ASTRAL ,2,3.0,SWEET,AMANDA SCHUSTER,86,5,15,25,15,5,3,30,40,10,5,5,0,20,10
TEQUILA OCHO REPOSADO BARREL SELECT WIDOW JANE 2022,TEQUILA REPOSADO,EX-WIDOW JANE BOURBON BARRELS,"JALISCO, MEXICO",NAS,45.5,3,TEQUILA OCHO ,8,4.44,TART,STEPHANIE MORENO,86,20,35,38,25,10,35,50,45,0,0,0,55,35,0
TRES GENERACIONES LA COLONIAL REPOSADO TEQUILA,TEQUILA REPOSADO,CHARRED AMERICAN OAK,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,45.0,4,TRES GENERACIONES ,1,5.0,SPICY & HERBAL,STEPHANIE MORENO,86,25,35,60,55,15,40,45,30,10,0,0,35,40,0
TEQUILA ETERNO VERANO REPOSADO,TEQUILA REPOSADO,WHISKEY BARRELS,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,3,ETERNO VERANO ,1,4.0,SWEET & RICH,AMANDA SCHUSTER,86,0,10,10,5,5,0,60,70,0,15,0,5,40,5
DON JULIO PRIMAVERA,TEQUILA REPOSADO,ORANGE WINE CASKS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,4,DON JULIO ,32,3.94,FRUITY & BITTER,JAKE EMEN,86,30,50,40,20,40,70,60,40,20,30,0,40,80,20
THE LOST EXPLORER MEZCAL SALMIANA,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,42.0,5,THE LOST EXPLORER ,3,4.5,HERBAL & FLORAL,JAKE EMEN,86,10,50,60,90,20,40,30,40,40,10,20,30,70,80
MIJENTA TEQUILA BLANCO,TEQUILA BLANCO,UNAGED,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,MIJENTA ,31,4.22,FRUITY & TART,JAKE EMEN,86,10,20,30,50,40,40,30,30,50,0,0,60,80,40
