abv %,cost,# ratings,community rating,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral,type_MEZCAL AÑEJO,type_MEZCAL JOVEN,type_MEZCAL REPOSADO,type_RAICILLA,type_SOTOL,type_TEQUILA AÑEJO,type_TEQUILA BLANCO,type_TEQUILA EXTRA AÑEJO,type_TEQUILA JOVEN,type_TEQUILA REPOSADO
47.0,4,5,4.45,93,60,75,65,75,30,40,85,55,45,40,20,35,70,15,False,True,False,False,False,False,False,False,False,False
40.0,3,91,4.14,93,0,81,63,84,40,60,88,91,76,70,71,75,86,75,False,False,False,False,False,False,True,False,False,False
48.0,4,4,4.38,93,45,15,30,60,20,30,70,80,30,25,15,65,90,70,False,True,False,False,False,False,False,False,False,False
48.0,4,11,4.55,93,84,43,67,90,42,80,30,60,22,16,80,55,70,34,False,True,False,False,False,False,False,False,False,False
48.0,4,31,4.64,93,60,55,35,45,40,30,80,70,50,73,50,50,60,10,False,True,False,False,False,False,False,False,False,False
48.7,4,13,4.38,93,50,65,40,65,35,45,55,60,75,35,20,80,75,45,False,True,False,False,False,False,False,False,False,False
40.0,3,4,4.75,93,30,10,30,10,20,0,60,60,10,10,5,0,35,0,False,False,True,False,False,False,False,False,False,False
40.0,2,1,4.25,93,20,40,78,27,29,32,50,72,24,23,46,40,82,40,False,False,False,False,False,False,False,False,False,True
40.0,1,107,3.76,93,28,70,0,55,84,58,84,70,12,0,78,42,67,70,False,False,False,False,False,True,False,False,False,False
40.0,5,14,4.52,93,30,75,85,40,73,0,90,83,67,81,81,60,89,89,False,False,False,False,False,False,False,True,False,False
40.0,2,2,4.63,93,10,35,30,60,30,10,20,62,80,55,10,15,65,72,False,False,False,False,False,False,True,False,False,False
40.0,3,42,4.26,93,68,75,74,84,75,68,76,78,72,78,78,70,82,71,False,False,False,False,False,False,False,False,False,True
40.0,3,49,4.45,93,58,68,82,73,76,73,89,75,70,74,77,64,77,72,False,False,False,False,False,True,False,False,False,False
40.0,2,98,4.12,93,15,50,10,40,20,15,65,45,20,15,5,15,30,0,False,False,False,False,False,False,True,False,False,False
40.0,5,2,2.63,92,3,15,20,10,5,3,60,35,10,0,0,0,10,0,False,False,False,False,False,True,False,False,False,False
40.0,3,19,3.95,92,10,45,35,60,20,35,40,40,20,10,15,40,35,0,False,False,False,False,False,False,False,False,False,True
46.3,5,4,4.38,92,10,15,40,20,10,5,85,70,10,5,8,20,30,5,False,False,False,False,False,False,False,False,False,True
40.0,5,3,4.38,92,10,30,55,50,10,55,45,55,15,0,10,30,25,0,False,False,False,False,False,False,False,True,False,False
40.0,4,2,4.25,92,10,15,15,30,10,3,70,65,20,15,5,25,40,5,False,False,False,False,False,True,False,False,False,False
42.0,5,3,4.83,92,20,80,40,50,20,60,30,30,30,10,70,30,20,0,False,True,False,False,False,False,False,False,False,False
40.0,2,2,3.88,92,0,15,10,20,15,0,50,40,20,0,5,25,60,20,False,False,False,False,False,False,True,False,False,False
45.0,4,5,4.35,92,5,15,30,30,5,5,70,65,5,5,10,15,40,5,False,False,False,False,False,True,False,False,False,False
40.0,4,26,4.49,92,0,70,40,10,0,0,90,30,0,0,0,0,35,0,False,False,False,False,False,False,False,True,False,False
40.0,4,4,4.25,92,0,60,35,35,10,0,65,80,0,5,15,5,70,25,False,False,False,False,False,False,False,False,False,True
40.0,2,67,3.82,92,30,45,75,90,75,20,80,55,45,35,40,40,65,90,False,False,False,False,False,False,True,False,False,False
47.0,4,16,4.63,92,25,20,30,35,25,5,25,25,15,10,30,5,20,35,False,True,False,False,False,False,False,False,False,False
40.0,2,35,4.18,92,15,39,63,56,61,9,68,71,53,39,56,12,55,32,False,False,False,False,False,False,False,False,False,True
45.0,4,16,4.41,92,30,30,45,60,20,15,70,80,35,15,20,40,90,40,False,True,False,False,False,False,False,False,False,False
48.0,3,48,3.89,92,20,10,25,30,5,0,40,40,25,0,0,15,70,40,False,True,False,False,False,False,False,False,False,False
40.0,3,2,3.25,92,40,70,80,40,15,35,85,80,0,0,45,0,40,60,False,False,False,False,False,True,False,False,False,False
55.0,3,11,3.65,92,5,20,20,30,10,0,40,60,30,10,15,15,40,0,False,False,False,False,False,False,True,False,False,False
43.0,3,2,2.5,92,10,30,30,50,40,0,90,70,0,0,5,0,30,0,False,False,False,False,True,False,False,False,False,False
47.0,3,4,4.6,92,70,70,10,50,10,40,30,50,50,10,15,0,25,0,False,True,False,False,False,False,False,False,False,False
45.0,3,12,4.25,92,40,5,60,60,0,0,30,40,20,0,0,20,40,5,False,True,False,False,False,False,False,False,False,False
45.0,2,18,3.96,92,60,10,50,30,10,0,60,50,0,0,0,20,40,5,False,False,True,False,False,False,False,False,False,False
40.0,3,25,3.73,92,60,55,45,70,20,10,40,35,45,40,45,10,35,60,False,False,True,False,False,False,False,False,False,False
47.0,4,17,4.17,92,10,30,30,10,25,5,30,5,20,10,0,10,20,0,False,True,False,False,False,False,False,False,False,False
40.0,2,35,4.26,92,20,15,30,40,0,5,60,60,10,0,0,0,50,20,False,False,False,False,False,False,False,False,False,True
49.0,3,59,4.12,92,55,45,20,75,20,15,65,50,30,25,30,15,40,10,False,True,False,False,False,False,False,False,False,False
40.0,3,8,4.75,92,10,20,30,60,30,0,50,60,0,10,40,0,40,30,False,False,False,False,False,True,False,False,False,False
40.0,3,5,4.1,92,5,10,30,0,15,0,80,80,0,0,0,5,50,0,False,False,False,False,False,True,False,False,False,False
40.0,2,21,4.18,92,0,15,20,30,5,3,40,15,10,5,10,10,20,5,False,False,False,False,False,False,True,False,False,False
40.0,3,2,4.38,92,25,15,30,10,10,0,70,70,0,0,0,10,40,5,False,False,False,False,False,True,False,False,False,False
50.0,2,17,3.12,92,0,10,20,10,0,5,15,60,10,5,5,0,65,40,False,False,False,False,False,False,True,False,False,False
